Contact ID,Cohort,Applicant Status,Children,Computer Availability,Employment Status,Salary Range,Relationship & Marital Status,Household Income,Education Level,Do you identify as LGBTQI?,I am a Veteran of the U.S. Military,Race / Ethnicity,Create Date
1,Dead Lead,Declined Attending,3,I do not own a laptop,,,Married,$50k - $75k,Bachelor's Degree,,,White,11/25/2020 9:20 AM
2,Dead Lead,Dead lead,2,Laptop (Mac),Employed full-time (35 hrs+),$25K-$35K,Single,$25k - $35k,Bachelor's Degree,,,White,11/25/2020 9:20 AM
3,Dead Lead,Declined Attending,3,Laptop (PC),Employed almost full-time (up to 35 hrs),$15K-$25K,Married,$100k - $150k,Bachelor's Degree,,,White,11/25/2020 9:20 AM
4,2020 Fall - Lehi,Assigned Cohort,1,Laptop (PC),Employed full-time (35 hrs+),$25K-$35K,Married,$50k - $75k,Associates Degree,,,Hispanic or Latina,11/25/2020 9:20 AM
5,Dead Lead,Dead lead,,Laptop (PC),,,Domestic Partnership,<$15k,Bachelor's Degree,,,White,11/25/2020 9:20 AM
6,Dead Lead,Dead lead,1,Laptop (PC),Employed full-time (35 hrs+),$25K-$35K,Single,$25k - $35k,High School Diploma,,,White,11/25/2020 9:20 AM
7,Dead Lead,Declined Attending,3,Laptop (PC),,,Married,$100k - $150k,Bachelor's Degree,,,White,11/25/2020 9:20 AM
8,Dead Lead,Declined Attending,2,Laptop (Mac),Employed part-time (under 20 hrs),$50K-$75K,Separated,$50k - $75k,Graduate or Professional Degree,,,White,11/25/2020 9:20 AM
9,Dead Lead,Non-responsive,4,Laptop (PC),,$25K-$35K,Single,<$15k,High School Diploma,,,White,11/25/2020 9:20 AM
10,Dead Lead,Dead lead,4,Laptop (PC),Employed full-time (35 hrs+),$35K-$50K,Separated,$25k - $35k,Some College No Degree,,,White,11/25/2020 9:20 AM
11,Dead Lead,Dead lead,3,Laptop (Mac),Employed full-time (35 hrs+),,Married,$250k+,Bachelor's Degree,,,White,11/25/2020 9:20 AM
12,Dead Lead,Dead lead,1,Laptop (Mac),Employed full-time (35 hrs+),$50K-$75K,Single,$50k - $75k,Bachelor's Degree,,,,11/25/2020 9:20 AM
