contact_id,cohort,applicant_status,children,computer_availability,employment_status,salary_range,relationship_and_marital_status,household_income,education_level,do_you_identify_as_lgbtqi?,i_am_a_veteran_of_the_u.s._military,race___ethnicity,create_date
1,dead lead,declined attending,3.0,i do not own a laptop,,,married,$50k - $75k,bachelor's degree,,,white,2020-11-25 09:20:00
2,dead lead,dead lead,2.0,laptop (mac),employed full-time (35 hrs+),$25k-$35k,single,$25k - $35k,bachelor's degree,,,white,2020-11-25 09:20:00
3,dead lead,declined attending,3.0,laptop (pc),employed almost full-time (up to 35 hrs),$15k-$25k,married,$100k - $150k,bachelor's degree,,,white,2020-11-25 09:20:00
4,2020 fall - lehi,assigned cohort,1.0,laptop (pc),employed full-time (35 hrs+),$25k-$35k,married,$50k - $75k,associates degree,,,hispanic or latina,2020-11-25 09:20:00
5,dead lead,dead lead,,laptop (pc),,,domestic partnership,<$15k,bachelor's degree,,,white,2020-11-25 09:20:00
6,dead lead,dead lead,1.0,laptop (pc),employed full-time (35 hrs+),$25k-$35k,single,$25k - $35k,high school diploma,,,white,2020-11-25 09:20:00
7,dead lead,declined attending,3.0,laptop (pc),,,married,$100k - $150k,bachelor's degree,,,white,2020-11-25 09:20:00
8,dead lead,declined attending,2.0,laptop (mac),employed part-time (under 20 hrs),$50k-$75k,separated,$50k - $75k,graduate or professional degree,,,white,2020-11-25 09:20:00
9,dead lead,non-responsive,4.0,laptop (pc),,$25k-$35k,single,<$15k,high school diploma,,,white,2020-11-25 09:20:00
10,dead lead,dead lead,4.0,laptop (pc),employed full-time (35 hrs+),$35k-$50k,separated,$25k - $35k,some college no degree,,,white,2020-11-25 09:20:00
11,dead lead,dead lead,3.0,laptop (mac),employed full-time (35 hrs+),,married,$250k+,bachelor's degree,,,white,2020-11-25 09:20:00
12,dead lead,dead lead,1.0,laptop (mac),employed full-time (35 hrs+),$50k-$75k,single,$50k - $75k,bachelor's degree,,,,2020-11-25 09:20:00
13,dead lead,declined attending,2.0,laptop (pc),employed part-time (under 20 hrs),<$15k,married,$100k - $150k,graduate or professional degree,,,asian,2020-11-25 09:20:00
14,dead lead,dead lead,1.0,laptop (mac),,i do not currently work outside the home.,married,$75k - $100k,some college no degree,,,white,2020-11-25 09:20:00
