Contact ID,Cohort,Applicant Status,Requires Childcare,Children,Computer Availability,Employment Status,Job Level,Salary Range,Relationship & Marital Status,Household Income,Education Level,Do you identify as LGBTQI?,I am a Veteran of the U.S. Military,Race / Ethnicity,Media Waiver Received,COVID Waiver Received,Payment Received,Create Date,"Reconfirmed (after deferment, etc)",Confirmation ID,T-shirt size (unisex sizing),MMYY
1,Dead Lead,Declined Attending,,3,I do not own a laptop,,Team Leader,,Married,$50k - $75k,Bachelor's Degree,,,White,,,,11/25/2020 9:20 AM,,recGpcAJFubwtq7Vp,,1120
2,Dead Lead,Dead lead,checked,2,Laptop (Mac),Employed full-time (35 hrs+),Individual Contributor,$25K-$35K,Single,$25k - $35k,Bachelor's Degree,,,White,,,,11/25/2020 9:20 AM,,recBJjVSPBE3FkOTQ,,1120
3,Dead Lead,Declined Attending,,3,Laptop (PC),Employed almost full-time (up to 35 hrs),Individual Contributor,$15K-$25K,Married,$100k - $150k,Bachelor's Degree,,,White,,,,11/25/2020 9:20 AM,,recy5SdJziCgn8AgE,,1120
4,2021 Spring -  Tech-Moms Ogden,Assigned Cohort,,1,Laptop (PC),Employed full-time (35 hrs+),Individual Contributor,$25K-$35K,Married,$50k - $75k,Associates Degree,,,Hispanic or Latina,checked,checked,checked,11/25/2020 9:20 AM,,recakkGXmYh34xLek,,1120
5,Dead Lead,Dead lead,,,Laptop (PC),,Team Leader,,Domestic Partnership,<$15k,Bachelor's Degree,,,White,,,,11/25/2020 9:20 AM,,rec4qOwr6xai4VXrL,,1120
6,Dead Lead,Dead lead,,1,Laptop (PC),Employed full-time (35 hrs+),Individual Contributor,$25K-$35K,Single,$25k - $35k,High School Diploma,,,White,,,,11/25/2020 9:20 AM,,recGYyG7NCPQzPW8O,,1120
7,Dead Lead,Declined Attending,,3,Laptop (PC),,Individual Contributor,,Married,$100k - $150k,Bachelor's Degree,,,White,,,,11/25/2020 9:20 AM,,rec4ZT4YYBSRBihwq,,1120
8,Dead Lead,Declined Attending,checked,2,Laptop (Mac),Employed part-time (under 20 hrs),Director,$50K-$75K,Separated,$50k - $75k,Graduate or Professional Degree,,,White,,,,11/25/2020 9:20 AM,,recK9CVz5NGfSTXcC,,1120
9,Waitlist - Ogden,Deferred Application,,4,Laptop (PC),,Individual Contributor,$25K-$35K,Single,<$15k,High School Diploma,,,White,checked,checked,checked,11/25/2020 9:20 AM,,recluLOyieKB8KZhQ,,1120
10,Dead Lead,Dead lead,,4,Laptop (PC),Employed full-time (35 hrs+),Individual Contributor,$35K-$50K,Separated,$25k - $35k,Some College No Degree,,,White,,,,11/25/2020 9:20 AM,,reckApTPtlTu81uVA,,1120
11,Dead Lead,Dead lead,,3,Laptop (Mac),Employed full-time (35 hrs+),Individual Contributor,,Married,$250k+,Bachelor's Degree,,,White,,,,11/25/2020 9:20 AM,,recYgH4zqnWFvXwKy,,1120
12,Dead Lead,Dead lead,,1,Laptop (Mac),Employed full-time (35 hrs+),Individual Contributor,$50K-$75K,Single,$50k - $75k,Bachelor's Degree,,,,,,,11/25/2020 9:20 AM,,recSsMfh1JCMy0Ip3,,1120
13,Dead Lead,Declined Attending,,2,Laptop (PC),Employed part-time (under 20 hrs),Individual Contributor,<$15K,Married,$100k - $150k,Graduate or Professional Degree,,,Asian,,,,11/25/2020 9:20 AM,,reciy4UnghPc5LGaR,,1120
14,Dead Lead,Dead lead,,1,Laptop (Mac),,Team Leader,I do not currently work outside the home.,Married,$75k - $100k,Some College No Degree,,,White,,,,11/25/2020 9:20 AM,,recFhyTy8Y2aKLRan,,1120
15,Dead Lead,Dead lead,,1,Laptop (PC),Employed full-time (35 hrs+),Individual Contributor,$15K-$25K,Single,$15k - $25k,Bachelor's Degree,,,,,,,11/25/2020 9:20 AM,,recMIhCPm3HIhstWQ,,1120
16,2021 Spring -  Tech-Moms Ogden,Assigned Cohort,checked,1,Laptop (Mac),Employed almost full-time (up to 35 hrs),Individual Contributor,<$15K,Single,<$15k,High School Diploma,,,Hispanic or Latina,checked,checked,,11/25/2020 9:20 AM,,reccF0rgzh1MBe7Pn,,1120
17,Dead Lead,Dead lead,,1,Laptop (PC),,Team Leader,,Married,$100k - $150k,Bachelor's Degree,,,White,,,,11/25/2020 9:20 AM,,recABsBsO0LdGbMO4,,1120
18,2021 Spring - Tech-Moms Lehi,Assigned Cohort,,1,I do not own a laptop,,Individual Contributor,I do not currently work outside the home.,Married,$50k - $75k,Some College No Degree,,,Would prefer not to answer,checked,checked,,11/25/2020 9:20 AM,,reczyWaIYh9BeS0WZ,,1120
19,Dead Lead,Declined Attending,,1,Laptop (PC),Employed full-time (35 hrs+),Individual Contributor,$50K-$75K,Single,$50k - $75k,Bachelor's Degree,,,White,,,,11/25/2020 9:20 AM,,rec7NQGZiCPhXUMOx,,1120
